[2025-09-16 03:44:41.054279] [LOG] RCV SYN SEQ=6063
[2025-09-16 03:44:41.054345] [LOG] SND SYN-ACK SEQ=25185 ACK=6064
[2025-09-16 03:44:41.054462] [LOG] RCV ACK FOR SYN
[2025-09-16 03:44:41.054899] [LOG] RCV DATA SEQ=6064 (Filename)
[2025-09-16 03:44:41.054990] [LOG] SND ACK=6082 WIN=51200
[2025-09-16 03:44:41.055218] [LOG] DROP DATA SEQ=6082
[2025-09-16 03:44:41.055436] [LOG] DROP DATA SEQ=7106
[2025-09-16 03:44:41.055645] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:41.055664] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:41.055680] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:41.055694] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:41.055707] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:41.055721] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:41.055735] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:41.557744] [LOG] RCV DATA SEQ=6082 LEN=1024
[2025-09-16 03:44:41.557785] [LOG] SND ACK=7106 WIN=51200
[2025-09-16 03:44:41.557814] [LOG] DROP DATA SEQ=7106
[2025-09-16 03:44:41.557828] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:41.557842] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:41.557855] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:41.557869] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:41.557882] [LOG] RCV DATA SEQ=12226 LEN=1024
[2025-09-16 03:44:41.557894] [LOG] SND ACK=7106 WIN=51200
[2025-09-16 03:44:41.557914] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:41.557929] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:42.059353] [LOG] DROP DATA SEQ=7106
[2025-09-16 03:44:42.059454] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:42.059536] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:42.059605] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:42.059622] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:42.059779] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:42.059807] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:42.059833] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:42.560693] [LOG] DROP DATA SEQ=7106
[2025-09-16 03:44:42.560861] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:42.561047] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:42.561101] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:42.661499] [LOG] RCV DATA SEQ=11202 LEN=1024
[2025-09-16 03:44:42.661541] [LOG] SND ACK=7106 WIN=51200
[2025-09-16 03:44:42.661582] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:42.661603] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:42.661623] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:43.062616] [LOG] DROP DATA SEQ=7106
[2025-09-16 03:44:43.062663] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:43.062696] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:43.062729] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:43.163070] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:43.163136] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:43.163177] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:43.163214] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:43.563712] [LOG] DROP DATA SEQ=7106
[2025-09-16 03:44:43.563759] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:43.664067] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:43.664109] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:43.764429] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:43.764507] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:43.764548] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:43.764589] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:44.064937] [LOG] RCV DATA SEQ=7106 LEN=1024
[2025-09-16 03:44:44.064986] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:44.065032] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:44.165425] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:44.165591] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:44.266015] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:44.266079] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:44.266119] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:44.266156] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:44.566575] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:44.666863] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:44.666933] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:44.767224] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:44.767275] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:44.767314] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:44.867502] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:45.067827] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:45.168109] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:45.168159] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:45.268428] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:45.268501] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:45.268540] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:45.368630] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:45.569055] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:45.669372] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:45.669422] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:45.769690] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:45.769743] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:45.769779] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:45.869975] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:46.070395] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:46.170754] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:46.170794] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:46.271073] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:46.271114] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:46.271137] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:46.371251] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:46.571687] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:46.671987] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:46.672047] [LOG] RCV DATA SEQ=10178 LEN=1024
[2025-09-16 03:44:46.672081] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:46.772498] [LOG] RCV DATA SEQ=11202 LEN=1024
[2025-09-16 03:44:46.772524] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:46.772667] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:46.772684] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:46.872923] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:47.074377] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:47.174385] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:47.174633] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:47.274761] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:47.274904] [LOG] RCV DATA SEQ=12226 LEN=1024
[2025-09-16 03:44:47.274924] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:47.275072] [LOG] RCV DATA SEQ=13250 LEN=1024
[2025-09-16 03:44:47.275096] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:47.375524] [LOG] RCV DATA SEQ=14274 LEN=100
[2025-09-16 03:44:47.375583] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:47.576418] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:47.676749] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:47.676792] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:47.777053] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:47.777094] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:47.777116] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:47.877328] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:48.078454] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:48.178649] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:48.178694] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:48.278840] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:48.278980] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:48.279009] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:48.379259] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:48.579661] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:48.679950] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:48.680006] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:48.780301] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:48.780356] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:48.780395] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:48.880575] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:49.080957] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:49.181499] [LOG] RCV DATA SEQ=9154 LEN=1024
[2025-09-16 03:44:49.181542] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:49.181589] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:49.282088] [LOG] DROP DATA SEQ=11202
[2025-09-16 03:44:49.282129] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:49.282152] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:49.382359] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:49.582676] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:49.683032] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:49.683090] [LOG] DROP DATA SEQ=10178
[2025-09-16 03:44:49.783392] [LOG] RCV DATA SEQ=11202 LEN=1024
[2025-09-16 03:44:49.783436] [LOG] SND ACK=8130 WIN=51200
[2025-09-16 03:44:49.783506] [LOG] DROP DATA SEQ=12226
[2025-09-16 03:44:49.783527] [LOG] DROP DATA SEQ=13250
[2025-09-16 03:44:49.883928] [LOG] DROP DATA SEQ=14274
[2025-09-16 03:44:50.084781] [LOG] DROP DATA SEQ=8130
[2025-09-16 03:44:50.185098] [LOG] DROP DATA SEQ=9154
[2025-09-16 03:44:50.185155] [LOG] DROP DATA SEQ=10178
